country,sex,Total,5-9 (age bands),10-14 (age bands),15-19 (age bands),20-24 (age bands),25-29 (age bands),30-34 (age bands),35-39 (age bands),40-44 (age bands),45-49 (age bands),50-54 (age bands),55-59 (age bands),60-64 (age bands),65+ (age bands)
Austria,Male (Sex),0.57,NA,NA,0.465,0.777,0.894,0.943,0.945,0.948,0.929,0.904,0.764,0.329,0.076
Azerbaijan,Male (Sex),0.68,NA,NA,0.127,0.536,0.759,0.86,0.916,0.994,0.984,0.969,0.71,0.375,0.071
Bahamas,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,Male (Sex),0.247,NA,NA,0.873,0.075,0.77,0.951,0.968,0.975,0.968,0.946,0.926,0.86,0.678
Bangladesh,Male (Sex),0.772,NA,NA,0.825,0.433,0.484,0.759,0.922,0.973,0.983,0.98,0.974,0.941,0.885
Barbados,Male (Sex),0.181,NA,NA,0.72,0.225,0.788,0.912,0.923,0.935,0.935,0.956,0.913,0.832,0.678
Belarus,Male (Sex),NA,NA,NA,0.185,0.797,0.912,0.906,0.899,0.892,0.87,0.843,0.754,0.317,0.123
Belgium,Male (Sex),0.597,NA,NA,0.086,0.566,0.892,0.93,0.934,0.921,0.908,0.868,0.695,0.29,0.036
Belize,Male (Sex),0.794,NA,0.404,0.235,0.488,0.874,0.98,0.962,0.98,0.983,0.949,0.935,0.882,0.755
Benin,Male (Sex),0.601,NA,0.253,0.761,0.268,0.54,0.879,0.963,0.977,0.985,0.982,0.942,0.905,0.839
Bermuda,Male (Sex),0.8,NA,NA,0.158,0.441,0.75,0.976,1.145,0.991,0.878,0.839,0.774,0.71,NA
Bhutan,Male (Sex),0.721,NA,NA,0.106,0.529,0.868,0.96,0.965,0.968,0.95,0.917,0.861,0.792,0.402
Bolivia,Male (Sex),0.888,NA,NA,0.732,0.259,0.432,0.734,0.955,0.968,0.98,0.981,0.982,0.976,0.683
Bosnia and Herzegovina,Male (Sex),NA,NA,NA,0.553,NA,0.852,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,Male (Sex),0.84,NA,0.795,0.83,0.198,0.805,0.839,0.874,0.663,0.224,0.641,0.798,0.837,0.838
Brazil,Male (Sex),0.701,NA,0.119,0.069,0.477,0.848,0.922,0.939,0.948,0.936,0.91,0.867,0.787,0.632
Brunei Darussalam,Male (Sex),0.757,NA,NA,0.225,0.824,0.961,0.966,0.962,0.955,0.93,0.898,0.489,0.455,0.196
Bulgaria,Male (Sex),0.054,NA,NA,0.088,0.53,0.807,0.886,0.888,0.887,0.852,0.816,0.636,0.712,0.482
Burkina Faso,Male (Sex),0.899,NA,NA,0.694,0.832,0.928,0.966,0.973,0.972,0.967,0.955,0.916,0.871,0.71
Cambodia,Male (Sex),0.887,NA,NA,0.624,0.869,0.974,0.917,0.953,0.785,0.721,0.68,0.725,0.396,0.788
Cameroon,Male (Sex),0.822,NA,0.675,0.741,0.384,0.523,0.717,0.93,0.973,0.983,0.991,0.985,0.939,0.883
Canada,Male (Sex),0.182,NA,NA,0.707,0.48,0.78,0.885,0.915,0.927,0.92,0.905,0.876,0.784,0.597
Cape Verde,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,Male (Sex),0.856,NA,NA,0.754,0.989,0.956,0.98,0.981,0.98,0.96,0.887,0.747,0.407,NA
Chile,Male (Sex),0.429,NA,NA,0.196,0.631,0.854,0.934,0.936,0.944,0.94,0.934,0.896,0.817,0.72
Colombia,Male (Sex),0.98,NA,NA,0.969,0.966,0.94,0.878,0.714,0.001,0.078,0.43,0.856,0.959,0.973
Congo,Male (Sex),0.217,NA,NA,0.908,NA,0.947,NA,0.915,NA,0.722,0.643,0.099,0.408,0.782
Cook Islands,Male (Sex),NA,NA,NA,0.925,0.934,0.959,0.949,0.943,0.942,0.886,0.729,0.395,0.2,NA
Costa Rica,Male (Sex),0.025,NA,NA,0.315,0.781,0.926,0.959,0.96,0.962,0.949,0.909,0.86,0.697,0.757
Croatia,Male (Sex),0.058,NA,NA,0.577,0.13,0.559,0.853,0.938,0.893,0.831,0.815,0.753,0.647,0.353
Cuba,Male (Sex),0.9,NA,NA,0.735,0.795,0.874,0.909,0.924,0.91,0.962,0.942,0.386,0.106,NA
Cyprus,Male (Sex),0.074,NA,NA,0.677,0.916,0.96,0.963,0.957,0.938,0.909,0.857,0.56,0.133,0.702
Czech Republic,Male (Sex),0.594,NA,NA,0.918,0.972,0.976,0.971,0.961,0.943,0.871,0.448,0.071,0.681,0.07
Denmark,Male (Sex),0.719,NA,NA,0.845,0.923,0.923,0.927,0.903,0.884,0.857,0.538,0.097,0.662,0.5
Dominica,Male (Sex),NA,NA,NA,0.797,0.874,0.895,0.91,0.909,0.9,0.846,0.761,0.529,0.258,NA
Dominican Republic,Male (Sex),0.042,NA,0.42,0.817,0.944,0.954,0.969,0.958,0.938,0.922,0.876,0.777,0.425,0.679
Ecuador,Male (Sex),0.494,NA,NA,0.046,0.298,0.746,0.952,0.961,0.978,0.984,0.968,0.946,0.909,0.665
Egypt,Male (Sex),0.222,NA,0.75,0.01,0.304,0.687,0.965,0.981,0.985,0.979,0.966,0.922,0.864,0.517
El Salvador,Male (Sex),NA,NA,0.532,0.494,0.802,0.927,0.964,0.971,0.972,0.96,0.945,0.911,0.802,0.5
Estonia,Male (Sex),0.684,NA,NA,0.646,0.92,0.955,0.964,0.922,0.883,0.891,0.787,0.534,0.133,0.146
Ethiopia,Male (Sex),0.893,NA,NA,0.963,0.979,0.984,0.985,0.978,0.965,0.94,0.888,0.85,0.672,0.751
Faeroe Islands,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Islands (Malvinas),Male (Sex),1,NA,NA,0.99,1,1,1,0.98,0.98,0.99,0.98,0.99,0.98,1
Fiji,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Male (Sex),0.476,NA,NA,0.519,0.63,0.277,0.711,0.879,0.909,0.928,0.917,0.906,0.87,0.762
France,Male (Sex),0.616,NA,NA,0.174,0.648,0.919,0.949,0.951,0.944,0.932,0.905,0.776,0.264,0.031
French Guiana,Male (Sex),0.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Polynesia,Male (Sex),NA,NA,NA,0.248,0.759,0.872,0.895,0.891,0.884,0.863,0.744,0.535,0.231,0.111
Gabon,Male (Sex),0.582,NA,NA,0.077,0.364,0.681,0.875,0.882,0.914,0.868,0.83,0.634,0.406,0.27
Georgia,Male (Sex),0.773,NA,NA,0.23,0.766,0.908,0.942,0.932,0.923,0.938,0.904,0.872,0.844,0.516
Germany,Male (Sex),0.663,NA,NA,0.311,0.716,0.87,0.938,0.95,0.95,0.938,0.914,0.858,0.617,0.077
Ghana,Male (Sex),0.617,NA,NA,0.198,0.472,0.289,0.872,0.948,0.958,0.945,0.928,0.392,0.89,0.825
Gibraltar,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,Male (Sex),0.717,NA,NA,0.372,0.043,0.609,0.088,0.552,0.899,0.963,0.965,0.962,0.933,0.881
Guadeloupe,Male (Sex),0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,Male (Sex),0.942,0.921,0.852,0.588,0.707,0.029,0.179,0.544,0.878,0.943,0.972,0.969,0.955,0.94
Guinea,Male (Sex),0.928,NA,NA,0.677,0.736,0.362,0.551,0.736,0.893,0.951,0.909,0.975,0.976,0.932
Guyana,Male (Sex),0.519,NA,NA,0.331,0.502,0.47,0.863,0.918,0.927,0.926,0.926,0.91,0.872,0.765
Haiti,Male (Sex),0.823,NA,NA,NA,0.423,0.232,0.572,0.824,0.898,0.931,0.935,0.926,0.911,0.886
Honduras,Male (Sex),0.721,NA,0.859,0.916,0.958,0.955,0.959,0.973,0.953,0.932,0.868,0.592,NA,NA
"Hong Kong, China",Male (Sex),0.625,NA,NA,0.969,0.968,0.959,0.952,0.919,0.813,0.554,0.132,0.67,0.691,0.11
Hungary,Male (Sex),0.868,NA,NA,0.93,0.932,0.916,0.875,0.821,0.723,0.237,0.031,0.607,0.057,0.518
Iceland,Male (Sex),0.908,NA,NA,0.911,0.946,0.939,0.932,0.928,0.865,0.422,0.837,0.673,0.806,0.898
India,Male (Sex),0.959,NA,NA,0.99,0.991,0.988,0.985,0.96,0.915,0.734,0.759,0.031,0.311,0.747
Indonesia,Male (Sex),0.951,NA,NA,0.972,0.978,0.98,0.977,0.96,0.883,0.794,0.534,0.834,0.392,0.831
"Iran, Islamic Rep. of",Male (Sex),0.859,NA,0.935,0.944,0.921,0.851,0.731,0.599,0.48,0.274,0.63,0.031,0.242,0.655
Iraq,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,Male (Sex),0.849,NA,NA,0.906,0.898,0.863,0.771,0.575,0.149,0.567,0.546,0.677,0.159,0.673
Isle of Man,Male (Sex),NA,NA,NA,0.932,0.943,0.95,0.946,0.934,0.914,0.818,0.634,0.693,0.383,0.789
Israel,Male (Sex),0.737,NA,NA,0.882,0.907,0.888,0.87,0.839,0.817,0.711,0.266,NA,0.694,0.303
Italy,Male (Sex),0.749,NA,NA,0.911,0.917,0.913,0.89,0.756,0.365,0.062,NA,0.589,0.085,0.513
Jamaica,Male (Sex),0.919,NA,NA,0.906,0.808,0.437,NA,NA,NA,NA,NA,0.118,NA,0.894
Japan,Male (Sex),0.953,NA,NA,0.927,0.76,0.294,0.705,0.155,0.677,0.938,0.956,0.965,0.963,0.962
Jersey,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,Male (Sex),0.703,NA,NA,0.285,0.746,0.938,0.954,0.604,0.16,0.601,0.924,0.766,0.365,0.048
Kazakhstan,Male (Sex),0.773,NA,NA,0.152,0.71,0.959,0.976,0.966,0.973,0.956,0.947,0.908,0.595,0.065
Kiribati,Male (Sex),0.668,NA,NA,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Republic of Korea,Male (Sex),0.942,NA,NA,0.941,0.935,0.732,0.855,0.066,0.426,0.421,0.384,0.763,0.926,0.923
Kosovo,Male (Sex),0.515,NA,NA,0.641,0.709,0.731,0.744,0.758,0.662,0.539,0.446,0.602,NA,NA
Kuwait,Male (Sex),0.978,NA,NA,0.954,0.937,0.862,0.783,0.6,0.288,NA,0.972,0.872,0.879,0.097
Kyrgyzstan,Male (Sex),NA,NA,NA,0.962,0.934,0.924,0.864,0.774,0.48,0.764,0.367,0.785,0.924,0.955
Lao People's Democratic Republic,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Male (Sex),0.923,NA,NA,0.944,0.919,0.911,0.894,0.846,0.789,0.427,0.107,0.661,0.096,0.658
Lebanon,Male (Sex),0.888,NA,NA,0.948,0.902,0.919,0.838,0.813,0.634,0.447,NA,0.496,0.249,0.594
Lesotho,Male (Sex),0.873,NA,NA,0.919,0.932,0.927,0.913,0.914,0.846,0.815,0.638,0.084,0.363,0.711
Liberia,Male (Sex),NA,NA,NA,0.613,0.78,0.785,0.844,0.865,0.811,0.75,0.652,0.616,0.256,0.419
Liechtenstein,Male (Sex),0.699,NA,NA,0.814,0.921,0.943,0.943,0.943,0.926,0.86,0.507,0.163,0.706,0.443
Lithuania,Male (Sex),0.605,NA,NA,0.935,0.931,0.906,0.894,0.856,0.803,0.47,0.087,0.527,0.641,0.067
Luxembourg,Male (Sex),0.966,NA,NA,0.974,0.965,0.918,0.664,0.307,0.065,0.663,0.132,0.472,0.851,0.974
"Macau, China",Male (Sex),0.979,NA,NA,0.977,0.947,0.9,0.821,0.619,0.218,0.784,0.119,0.676,0.958,0.975
TFYR of Macedonia,Male (Sex),0.956,NA,NA,0.95,0.934,0.921,0.885,0.8,0.486,0.033,0.673,0.152,0.618,0.867
Madagascar,Male (Sex),0.964,NA,0.874,0.978,0.983,0.992,0.987,0.966,0.957,0.899,0.772,0.336,0.709,0.885
Malaysia,Male (Sex),0.227,NA,NA,0.738,0.961,0.977,0.98,0.975,0.971,0.935,0.789,0.571,NA,NA
Maldives,Male (Sex),NA,NA,NA,0.384,0.828,0.887,0.908,0.92,0.917,0.915,0.89,0.859,0.5,0.013
Mali,Male (Sex),0.741,NA,0.451,0.625,0.757,0.87,0.927,0.936,0.934,0.936,0.925,0.864,0.763,0.54
Malta,Male (Sex),0.791,NA,NA,0.974,0.968,0.943,0.941,0.884,0.811,0.326,0.078,NA,0.666,0.288
Marshall Islands,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martinique,Male (Sex),0.794,NA,NA,0.846,0.843,0.849,0.859,0.828,0.586,0.253,0.026,0.538,0.087,0.573
Mauritania,Male (Sex),0.639,NA,0.213,0.497,0.747,0.844,0.866,0.887,0.847,0.854,0.787,0.697,0.746,NA
Mauritius,Male (Sex),0.585,NA,NA,0.228,0.729,0.921,0.96,0.958,0.947,0.949,0.922,0.84,0.757,0.044
Mexico,Male (Sex),0.693,NA,NA,0.786,0.187,0.438,0.781,0.93,0.953,0.962,0.951,0.942,0.914,0.853
Republic of Moldova,Male (Sex),0.445,NA,NA,0.316,0.521,0.562,0.585,0.551,0.589,0.619,0.599,0.401,0.092,NA
Monaco,Male (Sex),0.491,NA,NA,0.339,0.827,0.91,0.881,0.871,0.87,0.813,0.711,0.417,0.191,NA
Mongolia,Male (Sex),0.166,NA,0.621,0.871,0.893,0.89,0.881,0.872,0.775,0.621,0.293,0.127,0.407,0.681
Montenegro,Male (Sex),NA,NA,NA,0.906,0.928,0.935,0.839,0.714,0.581,0.192,0.031,0.581,0.176,0.594
Morocco,Male (Sex),0.718,NA,NA,0.924,0.961,0.963,0.965,0.953,0.891,0.798,0.511,0.722,0.024,0.314
Mozambique,Male (Sex),0.762,NA,NA,0.8,0.792,0.829,0.812,0.798,0.819,0.816,0.815,0.753,0.758,0.602
Namibia,Male (Sex),0.705,NA,NA,0.88,0.915,0.927,0.912,0.92,0.889,0.843,0.63,0.437,0.724,0.167
Nauru,Male (Sex),0.935,NA,NA,0.943,0.946,0.909,0.868,0.813,0.718,0.517,0.789,0.748,0.922,NA
Nepal,Male (Sex),0.862,NA,0.95,0.971,0.975,0.975,0.964,0.959,0.925,0.901,0.697,0.856,0.875,0.687
Netherlands,Male (Sex),0.901,NA,NA,0.941,0.935,0.923,0.925,0.913,0.865,0.633,0.113,0.711,0.599,0.783
Netherlands Antilles,Male (Sex),NA,NA,NA,0.86,0.9,0.927,0.913,0.9,0.9,0.761,0.366,0.622,0.132,0.653
New Caledonia,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,Male (Sex),0.435,NA,NA,0.778,0.909,0.93,0.933,0.915,0.917,0.907,0.879,0.766,0.267,0.741
Nicaragua,Male (Sex),0.874,NA,0.712,0.165,0.498,0.799,0.915,0.956,0.955,0.953,0.939,0.909,0.903,0.753
Niger,Male (Sex),0.946,NA,NA,0.966,0.965,0.97,0.961,0.958,0.857,0.499,0.482,0.705,0.829,0.916
Niue,Male (Sex),0.87,NA,NA,0.817,0.983,0.893,0.821,0.884,0.682,0.538,0.535,0.338,0.946,0.889
Norfolk Island,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,Male (Sex),0.94,NA,NA,0.916,0.878,0.832,0.724,0.58,0.667,0.776,NA,0.257,0.705,0.931
Norway,Male (Sex),0.906,NA,NA,0.91,0.909,0.885,0.87,0.827,0.685,0.23,0.737,0.376,0.735,0.86
Oman,Male (Sex),0.928,NA,0.85,0.641,0,0.974,0.979,0.978,0.958,0.683,0.826,0.73,0.738,0.503
Pakistan,Male (Sex),0.689,NA,NA,0.145,0.512,0.824,0.957,0.98,0.987,0.982,0.975,0.964,0.926,0.731
Palau,Male (Sex),0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,Male (Sex),0.301,NA,NA,0.797,0.386,0.858,0.957,0.98,0.987,0.972,0.963,0.937,0.912,0.527
Papua New Guinea,Male (Sex),0.725,NA,0.676,0.467,0.242,0.478,0.699,0.801,0.842,0.86,0.857,0.855,0.821,0.796
Paraguay,Male (Sex),0.757,NA,NA,0.738,0.155,0.538,0.887,0.96,0.978,0.977,0.968,0.959,0.95,0.903
Peru,Male (Sex),0.91,NA,0.787,0.569,0.831,0.36,0.551,0.806,0.938,0.96,0.97,0.971,0.97,0.949
Philippines,Male (Sex),0.734,NA,NA,NA,0.785,0.388,0.774,0.923,0.952,0.961,0.957,0.95,0.917,0.861
Poland,Male (Sex),NA,NA,NA,0.644,0.079,0.639,0.919,0.941,0.937,0.917,0.865,0.805,0.702,0.393
Portugal,Male (Sex),0.651,NA,NA,0.589,0.876,0.933,0.931,0.913,0.925,0.884,0.756,0.489,0.205,0.548
Puerto Rico,Male (Sex),0.845,NA,NA,0.848,0.807,0.733,0.679,0.45,0.316,0.115,0.354,NA,0.16,0.592
Qatar,Male (Sex),0.996,NA,NA,0.998,0.996,0.996,0.991,0.971,0.969,0.874,0.418,0.962,0.299,0.936
Réunion,Male (Sex),0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,Male (Sex),0.242,NA,NA,0.824,0.891,0.909,0.907,0.896,0.826,0.684,0.375,0.638,0.131,0.531
Russian Federation,Male (Sex),0.103,NA,NA,0.664,0.947,0.951,0.947,0.941,0.925,0.88,0.774,0.388,0.143,0.747
Rwanda,Male (Sex),NA,NA,NA,0.355,0.676,0.876,0.924,0.929,0.925,0.918,0.903,0.875,0.805,NA
Saint Lucia,Male (Sex),0.755,NA,NA,0.397,0.891,0.918,0.936,0.911,0.699,0.36,0.75,0.398,0.87,0.921
Samoa,Male (Sex),0.527,NA,NA,0.511,0.536,0.536,0.444,0.341,0.317,0.168,0.399,0.162,0.421,0.488
San Marino,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,Male (Sex),0.928,NA,NA,0.984,0.987,0.988,0.972,0.894,0.799,0.594,0.342,0.783,0.041,0.493
Senegal,Male (Sex),0.772,NA,NA,0.88,0.904,0.901,0.889,0.864,0.814,0.583,0.336,0.681,0.437,0.621
Serbia,Male (Sex),0.528,NA,NA,0.926,0.913,0.89,NA,0.821,NA,0.674,NA,0.571,0.134,0.106
Seychelles,Male (Sex),0.683,NA,NA,0.313,0.807,0.856,0.848,0.828,0.852,0.843,0.822,0.633,0.478,0.085
Sierra Leone,Male (Sex),0.389,NA,NA,0.065,0.269,0.524,0.73,0.856,0.908,0.92,0.907,0.867,0.87,0.808
Singapore,Male (Sex),0.758,NA,NA,0.632,0.89,0.972,0.975,0.971,0.961,0.94,0.876,0.75,0.349,0.144
Slovakia,Male (Sex),0.624,NA,NA,0.93,0.967,0.957,0.942,0.925,0.886,0.819,0.328,0.681,0.074,0.204
Slovenia,Male (Sex),0.863,NA,NA,0.555,0.25,0.895,0.54,0.953,0.598,0.961,0.976,0.951,0.631,0.137
Solomon Islands,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,Male (Sex),0.865,NA,NA,0.761,0.668,0.344,NA,NA,0.634,0.06,0.502,0.77,0.84,NA
Spain,Male (Sex),0.888,NA,NA,0.448,0.024,NA,0.656,0.149,0.621,0.895,0.944,0.951,0.936,0.919
Sri Lanka,Male (Sex),0.905,NA,NA,0.81,0.649,0.755,0.008,0.213,0.738,0.94,0.962,0.96,0.765,0.944
"Sudan, The Republic of",Male (Sex),NA,NA,NA,NA,NA,NA,NA,0.44,NA,0.96,NA,0.86,NA,NA
Suriname,Male (Sex),NA,NA,NA,0.148,0.652,0.928,0.973,0.973,0.909,0.919,0.872,0.785,0.289,NA
Sweden,Male (Sex),0.293,NA,NA,0.745,0.89,0.941,0.962,0.959,0.945,0.918,0.895,0.737,0.188,0.743
Switzerland,Male (Sex),0.586,NA,NA,0.776,0.914,0.972,0.973,0.97,0.963,0.941,0.912,0.72,0.151,0.751
Syrian Arab Republic,Male (Sex),0.093,NA,NA,0.711,0.909,0.96,0.965,0.957,0.934,0.865,0.795,0.516,0.328,0.712
Tajikistan,Male (Sex),0.454,NA,NA,0.609,0.602,0.875,0.921,0.927,0.94,0.85,0.832,0.682,0.655,0.378
Tanzania (Tanganyika),Male (Sex),NA,NA,0.729,0.927,0.971,0.981,0.988,0.975,0.978,0.956,0.982,0.94,0.887,NA
"Tanzania, United Republic of",Male (Sex),0.626,NA,NA,0.786,0.709,0.908,NA,0.942,NA,0.938,NA,0.944,NA,0.825
Thailand,Male (Sex),0.964,NA,NA,0.948,0.902,0.805,0.087,0.309,0.775,0.938,0.95,0.958,0.964,NA
Timor-Leste,Male (Sex),0.864,NA,NA,0.778,0.769,0.632,0.385,0.56,0.083,0.31,0.69,0.833,0.879,0.862
Tonga,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,Male (Sex),0.935,NA,NA,0.926,0.9,0.809,0.383,0.1,0.714,0.217,0.816,0.935,0.959,0.963
Tunisia,Male (Sex),0.956,NA,NA,0.941,0.882,0.701,0.344,0.154,0.7,0.312,0.619,0.878,0.943,0.952
Turkey,Male (Sex),0.933,NA,0.873,0.695,0.537,0.401,0.205,0.36,0.709,0.347,0.715,0.91,0.944,0.944
Tuvalu,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uganda,Male (Sex),NA,NA,0.984,0.982,0.971,0.971,0.946,0.939,0.389,0.597,0.212,0.471,0.836,0.974
Ukraine,Male (Sex),0.117,NA,NA,0.687,0.91,0.918,0.916,0.891,0.865,0.802,0.686,0.319,0.206,0.716
United Arab Emirates,Male (Sex),0.826,NA,NA,0.979,0.992,0.995,0.984,0.968,0.938,0.886,0.717,0.341,0.889,0.105
United Kingdom of Great Britain and Northern Ireland,Male (Sex),0.924,NA,NA,0.943,0.931,0.923,0.914,0.888,0.814,0.592,0.131,0.69,0.38,0.799
United States,Male (Sex),0.87,NA,NA,0.904,0.909,0.901,0.875,0.837,0.768,0.619,0.23,0.692,0.335,0.739
Uruguay,Male (Sex),NA,NA,NA,0.948,0.968,0.966,0.97,0.961,0.94,0.874,0.651,0.738,0.337,0.855
Uzbekistan,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanuatu,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Venezuela (Bolivarian Republic of),Male (Sex),0.782,NA,0.045,0.329,0.74,0.923,0.961,0.966,0.967,0.949,0.923,0.841,0.713,0.402
Viet Nam,Male (Sex),0.976,NA,NA,0.975,0.718,0.346,0.818,NA,NA,0.821,0.424,0.82,0.96,0.975
West Bank and Gaza Strip,Male (Sex),0.924,NA,NA,0.867,0.798,0.683,0.333,0.58,0.031,0.318,0.686,0.872,0.918,0.931
Yemen,Male (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zambia,Male (Sex),0.976,NA,NA,0.981,0.969,0.968,0.889,0.896,0.712,0.8,0.452,0.755,0.953,0.974
Zimbabwe,Male (Sex),0.8,NA,NA,0.575,0.768,0.327,0.792,0.926,0.946,0.952,0.95,0.94,0.901,0.874
Albania,Female (Sex),0.462,NA,NA,0.153,0.443,0.619,0.653,0.665,0.685,0.717,0.631,0.43,0.171,0.056
Algeria,Female (Sex),0.166,NA,NA,0.023,0.173,0.314,0.261,0.222,0.223,0.175,0.127,0.072,0.018,0.013
American Samoa,Female (Sex),0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,Female (Sex),0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anguilla,Female (Sex),NA,NA,NA,0.487,0.42,0.801,0.866,0.865,0.865,0.852,0.769,0.724,0.535,NA
Antigua and Barbuda,Female (Sex),0.485,NA,NA,0.756,0.844,0.847,0.835,0.852,0.811,0.766,0.669,0.426,0.269,NA
Argentina,Female (Sex),0.094,NA,NA,0.469,0.007,0.161,0.498,0.642,0.666,0.677,0.669,0.677,0.634,0.538
Armenia,Female (Sex),0.758,NA,NA,0.723,0.541,0.548,0.544,0.338,0.559,0.134,0.464,0.798,0.605,0.796
Aruba,Female (Sex),0.133,NA,NA,0.812,0.838,0.843,0.852,0.796,0.781,0.564,NA,0.588,0.595,0.625
Australia,Female (Sex),0.586,NA,NA,0.559,0.754,0.763,0.724,0.729,0.774,0.789,0.77,0.653,0.451,0.08
Austria,Female (Sex),0.557,NA,NA,0.725,0.851,0.829,0.857,0.871,0.873,0.814,0.564,0.15,0.034,0.427
Azerbaijan,Female (Sex),0.127,NA,NA,0.506,0.678,0.776,0.78,0.962,0.952,0.894,0.558,0.323,0.033,0.614
Bahamas,Female (Sex),0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,Female (Sex),0.425,NA,NA,0.022,0.416,0.598,0.559,0.547,0.507,0.452,0.389,0.307,0.189,0.066
Bangladesh,Female (Sex),0.36,NA,NA,0.339,0.294,0.41,0.447,0.466,0.477,0.484,0.501,0.097,0.105,0.066
Barbados,Female (Sex),0.62,NA,NA,0.171,0.669,0.871,0.922,0.914,0.874,0.853,0.821,0.777,0.552,0.091
Belarus,Female (Sex),0.86,NA,NA,0.654,0.82,0.857,0.894,0.912,0.903,0.846,0.392,0.172,0.059,NA
Belgium,Female (Sex),0.061,NA,NA,0.48,0.805,0.819,0.834,0.823,0.798,0.713,0.551,0.187,0.014,0.478
Belize,Female (Sex),0.068,NA,NA,0.31,0.56,0.616,0.728,0.682,0.695,0.615,0.582,0.52,0.392,0.519
Benin,Female (Sex),0.302,NA,0.746,0.301,0.63,0.8,0.858,0.876,0.887,0.896,0.874,0.876,0.777,0.548
Bermuda,Female (Sex),0.173,NA,NA,0.467,0.707,0.865,0.858,0.786,0.888,0.813,0.775,0.593,NA,NA
Bhutan,Female (Sex),0.099,NA,NA,0.536,0.735,0.732,0.74,0.773,0.801,0.753,0.71,0.59,0.313,0.589
Bolivia,Female (Sex),0.426,NA,NA,0.222,0.377,0.557,0.7,0.749,0.779,0.756,0.762,0.798,0.399,0.574
Bosnia and Herzegovina,Female (Sex),NA,NA,NA,0.256,NA,0.259,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,Female (Sex),0.639,NA,0.643,0.591,0.559,0.563,0.672,0.529,0.177,0.52,0.663,0.695,0.726,0.723
Brazil,Female (Sex),0.036,NA,0.406,0.337,0.653,0.716,0.728,0.733,0.717,0.674,0.592,0.466,0.313,0.501
Brunei Darussalam,Female (Sex),0.397,NA,NA,0.662,0.758,0.739,0.689,0.628,0.567,0.461,0.158,0.112,0.564,NA
Bulgaria,Female (Sex),0.443,NA,NA,0.392,0.678,0.766,0.836,0.853,0.849,0.825,0.715,0.049,0.277,0.486
Burkina Faso,Female (Sex),0.558,NA,NA,0.6,0.641,0.666,0.681,0.686,0.683,0.658,0.619,0.546,0.376,0.85
Cambodia,Female (Sex),0.573,NA,NA,0.794,0.851,0.877,0.691,0.677,0.352,0.471,0.057,0.801,0.812,0.818
