"Region, subregion, country or area *",Reference date (as of 1 July),age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100
Peru,2020,1383.40,1302.68,1370.50,1256.81,1399.12,1406.34,1320.41,1228.71,1120.27,997.91,892.09,763.85,630.35,527.78,379.33,279.58,184.20,103.41,36.75,8.66,1.09
Suriname,2020,25.14,25.38,24.87,24.38,23.51,23.06,20.90,20.00,17.62,18.97,16.33,16.29,11.07,8.40,6.44,4.48,2.95,1.38,0.52,0.12,0.02
Uruguay,2020,115.66,115.72,113.96,120.24,124.87,126.82,118.84,111.00,118.23,111.68,101.54,101.98,95.54,81.04,70.49,57.74,46.05,34.36,20.08,7.62,1.94
Venezuela (Bolivarian Republic of),2020,1160.54,1336.35,1298.05,1225.54,1046.90,1025.26,1056.11,1010.92,963.84,875.20,827.00,737.93,620.43,461.51,329.79,218.04,135.57,75.36,33.71,10.88,2.09
Australia,2020,812.21,798.24,784.73,742.43,783.35,871.18,935.88,921.29,818.34,845.81,789.39,782.01,724.81,630.85,555.79,397.19,281.67,192.29,100.29,30.08,3.42
New Zealand,2020,146.56,152.98,156.37,148.77,158.12,168.38,162.98,153.27,145.22,164.76,163.19,163.78,146.03,124.44,110.49,78.30,53.90,32.29,17.17,4.54,0.53
Fiji,2020,43.47,42.87,40.60,36.54,35.22,34.47,32.53,33.23,27.59,24.08,23.41,21.86,17.63,12.18,8.49,4.95,2.44,0.71,0.13,0.01,0.00
New Caledonia,2020,9.67,10.52,10.68,10.50,11.40,9.44,10.21,10.20,9.94,10.48,9.20,8.44,6.69,5.01,4.10,2.68,1.74,0.73,0.28,0.06,0.01
Papua New Guinea,2020,534.54,504.21,480.93,447.36,406.68,349.81,311.06,285.70,250.32,210.66,173.61,141.97,112.30,82.10,47.87,24.96,10.86,3.34,0.65,0.04,0.00
Solomon Islands,2020,50.04,45.03,38.12,33.84,29.21,24.59,21.48,20.45,19.08,15.82,11.34,8.92,6.67,4.81,3.76,2.54,1.16,0.59,0.14,0.03,0.00
Vanuatu,2020,20.42,18.71,17.85,14.30,12.72,13.14,12.04,9.14,8.04,6.45,5.60,4.44,3.26,2.26,1.55,0.81,0.57,0.15,0.02,0.00,0.00
Guam,2020,6.59,6.54,6.46,6.75,6.59,6.43,5.82,5.03,4.77,5.10,4.95,4.83,3.95,3.32,2.63,1.57,1.28,0.73,0.24,0.06,0.01
Kiribati,2020,7.39,6.82,6.61,5.00,5.43,4.78,4.70,3.95,3.27,2.60,2.91,2.39,1.66,1.24,0.91,0.61,0.27,0.11,0.05,0.01,0.00
Micronesia (Fed. States of),2020,5.97,5.71,5.81,5.56,5.64,5.11,3.91,3.40,2.90,2.78,2.64,2.32,2.05,1.40,0.76,0.33,0.18,0.07,0.01,0.00,0.00
French Polynesia,2020,9.81,9.41,11.24,10.06,10.65,9.37,11.51,10.58,9.26,10.31,9.02,8.30,6.04,5.15,2.89,2.56,1.37,0.84,0.23,0.06,0.01
Samoa,2020,12.97,11.61,10.91,9.30,7.80,6.85,5.46,4.99,4.80,4.56,4.23,3.72,2.90,2.12,1.52,1.10,0.58,0.22,0.08,0.01,0.00
Tonga,2020,5.94,6.02,5.72,5.49,4.65,3.74,3.22,3.30,2.80,2.61,2.44,1.92,1.57,1.25,0.88,0.63,0.39,0.17,0.05,0.01,0.00
Belarus,2020,270.72,288.78,236.34,215.64,206.86,318.60,397.20,355.59,331.66,331.21,316.84,410.04,380.27,352.62,170.43,181.07,164.77,80.68,34.74,5.53,0.36
Bulgaria,2020,151.94,163.64,180.22,152.50,144.53,188.66,232.91,228.44,259.36,256.71,236.17,237.86,247.58,254.54,249.78,176.28,124.01,67.29,18.87,2.94,0.11
Czechia,2020,271.65,269.81,279.26,237.76,230.21,310.43,349.03,369.02,453.04,423.58,340.77,328.05,330.61,363.79,342.03,245.73,147.50,96.06,39.09,8.72,0.31
Hungary,2020,224.09,218.06,235.64,236.12,252.38,309.83,299.17,319.81,404.94,385.11,329.69,290.10,348.76,381.23,285.02,235.57,165.55,95.39,34.96,10.17,0.48
Poland,2020,917.60,926.36,963.23,852.94,970.66,1202.07,1355.69,1532.51,1455.92,1285.11,1127.89,1196.28,1445.03,1354.36,1076.25,645.09,584.93,391.93,177.36,43.72,3.82
Republic of Moldova,2020,98.57,107.22,105.48,97.80,118.03,161.95,205.82,175.17,152.17,134.82,124.56,156.78,146.07,136.35,64.24,52.64,37.75,18.60,6.79,1.12,0.07
Romania,2020,456.82,469.16,525.50,483.24,487.35,513.76,666.99,576.44,750.13,740.16,764.42,537.37,693.89,697.97,541.94,370.58,353.46,181.30,61.73,10.90,0.68
Russian Federation,2020,4508.87,4548.68,3988.16,3460.83,3240.76,4417.25,6243.12,6013.65,5476.69,5095.88,4550.66,5757.12,5848.34,5171.85,3467.84,2222.14,2565.34,1070.69,546.48,91.20,8.62
Slovakia,2020,138.51,138.27,137.95,128.18,141.68,178.17,200.92,212.68,222.66,198.70,174.81,186.79,192.30,184.46,138.28,102.24,67.97,40.22,13.85,2.42,0.10
Ukraine,2020,1026.31,1201.00,1166.31,958.72,1045.25,1343.70,1759.95,1795.26,1710.17,1595.65,1504.00,1723.70,1702.00,1612.78,1135.68,837.58,867.35,308.35,151.73,23.47,1.67
Channel Islands,2020,4.24,4.42,4.09,4.55,5.06,5.54,5.84,5.95,5.82,6.68,6.95,6.35,5.40,4.73,4.03,3.00,2.37,1.58,0.83,0.29,0.07
Denmark,2020,150.22,144.84,163.71,166.17,182.17,196.89,174.19,157.97,180.32,189.51,207.83,194.84,175.12,159.06,179.65,125.83,83.10,47.84,24.68,7.81,1.11
Estonia,2020,33.34,36.41,36.46,30.32,28.44,41.28,47.86,44.53,42.90,47.35,38.96,46.60,47.12,49.28,32.62,36.15,31.16,17.63,8.00,1.56,0.12
Finland,2020,128.87,148.70,151.73,144.44,152.61,175.41,168.47,174.37,168.51,153.96,174.78,185.59,182.05,185.27,190.12,125.15,94.97,62.43,31.85,8.21,0.82
Iceland,2020,9.96,11.14,11.23,10.61,10.89,12.40,11.46,11.52,10.83,10.44,10.46,10.87,10.23,8.52,6.92,4.98,3.34,2.53,1.16,0.32,0.04
Ireland,2020,152.09,174.42,174.66,153.16,143.02,136.46,156.02,198.06,202.94,185.76,156.80,145.60,126.86,117.55,101.04,69.97,48.45,26.79,12.30,3.99,0.52
Latvia,2020,54.58,45.02,49.62,42.71,33.37,57.40,69.51,59.55,61.13,68.51,62.55,78.58,73.22,72.45,47.89,60.41,35.04,26.64,14.24,3.99,0.48
Lithuania,2020,70.38,75.41,59.15,59.12,65.19,87.27,89.53,73.02,81.05,100.56,96.84,128.00,105.45,99.98,69.86,77.65,55.34,42.10,20.68,5.26,0.48
Norway,2020,146.37,152.12,156.42,157.43,170.85,180.65,184.42,174.82,167.35,182.88,182.79,163.17,153.72,137.81,135.79,95.02,64.44,43.72,22.99,7.62,0.88
Sweden,2020,292.21,288.46,284.76,264.28,263.74,358.69,339.97,306.39,298.87,323.06,334.43,304.75,283.40,266.31,289.35,223.81,149.64,98.70,51.73,15.95,1.83
United Kingdom,2020,1915.13,2011.02,1933.97,1805.52,2001.97,2208.93,2345.77,2308.36,2159.88,2167.78,2353.12,2306.54,1985.18,1734.37,1763.85,1304.71,969.61,638.89,320.63,95.56,12.82
Albania,2020,79.71,79.82,75.22,93.38,110.98,115.01,101.29,76.19,76.61,90.25,95.68,103.25,95.30,73.95,55.69,45.11,28.15,12.89,4.04,0.53,0.04
Bosnia and Herzegovina,2020,64.57,78.77,88.33,80.89,104.62,91.11,105.59,118.90,109.01,111.86,117.13,140.16,126.47,118.03,81.26,59.71,52.72,15.90,7.38,1.70,0.13
Croatia,2020,89.32,97.51,102.84,95.71,115.04,115.47,126.75,138.48,141.86,133.97,142.31,154.87,151.47,147.12,117.18,95.32,86.61,51.51,19.32,3.12,0.19
Greece,2020,198.28,228.09,262.84,257.25,258.97,251.02,287.61,361.72,383.86,396.83,403.43,366.67,356.45,311.93,296.80,223.54,229.48,155.60,61.48,13.82,1.58
Italy,2020,1127.41,1295.57,1387.18,1391.64,1415.93,1535.70,1662.54,1808.65,2096.66,2431.95,2487.78,2384.06,2050.52,1851.70,1805.04,1454.79,1344.03,893.20,453.13,133.18,13.46
Malta,2020,10.53,10.31,9.83,10.05,12.14,14.42,15.81,15.58,15.11,13.76,12.30,14.01,15.18,13.91,14.51,9.33,6.74,4.22,1.82,0.49,0.06
Montenegro,2020,17.78,17.78,18.75,18.64,19.79,20.58,20.74,22.67,21.67,21.16,19.34,21.37,20.48,19.64,13.92,9.76,8.09,4.06,1.13,0.15,0.01
North Macedonia,2020,54.22,55.71,54.27,58.84,63.24,74.39,79.07,79.85,75.68,71.71,71.94,69.55,65.84,60.54,43.58,31.26,20.55,8.72,2.10,0.21,0.01
Portugal,2020,194.29,213.74,239.81,256.71,269.89,270.97,287.27,336.71,395.96,420.34,389.16,390.59,359.95,337.34,314.04,260.31,213.36,145.61,60.51,14.53,1.58
Serbia,2020,202.35,210.98,235.17,248.00,256.07,277.79,300.08,294.98,310.65,307.00,290.32,284.50,289.16,322.78,259.13,155.21,125.86,66.89,18.59,2.13,0.08
Slovenia,2020,49.24,52.89,50.65,44.54,46.46,53.26,64.35,71.44,74.90,69.66,74.37,74.48,72.76,70.75,52.15,45.77,36.59,25.77,11.05,2.48,0.16
Spain,2020,964.43,1087.68,1207.31,1087.23,1100.94,1157.54,1302.93,1646.63,1974.36,1925.09,1803.61,1729.68,1513.06,1253.41,1181.37,1005.24,757.76,660.69,323.32,83.62,10.56
Austria,2020,217.80,206.02,205.04,218.87,245.50,294.55,304.55,308.42,281.25,307.28,356.19,346.72,297.69,237.00,219.95,214.62,153.11,90.26,47.47,13.47,0.95
Belgium,2020,307.31,323.49,325.88,311.55,319.94,356.23,370.93,379.18,370.09,374.38,390.27,396.93,370.68,327.44,295.44,212.38,188.56,138.30,66.63,18.12,1.59
France,2020,1769.56,1911.57,1950.96,1901.84,1828.07,1851.94,2009.58,2074.17,1999.76,2213.13,2216.97,2192.45,2070.46,2005.69,1896.42,1222.28,1071.98,854.08,470.53,156.43,16.45
Germany,2020,1976.34,1851.88,1832.31,1968.75,2170.94,2302.13,2619.02,2655.70,2507.87,2576.01,3328.29,3413.97,2966.00,2532.36,2042.71,2005.71,1899.98,1022.25,521.59,158.53,15.73
Luxembourg,2020,16.15,15.92,15.52,16.74,19.25,22.07,24.50,24.52,22.44,22.75,22.70,20.69,17.15,13.62,11.46,8.60,7.01,5.22,2.47,0.57,0.05
Netherlands,2020,418.52,434.97,455.97,494.41,498.40,528.26,531.58,505.22,501.14,573.97,634.06,619.72,562.55,509.90,488.29,337.17,245.84,161.08,73.45,20.73,2.49
Switzerland,2020,220.55,210.68,199.67,208.41,237.94,274.08,296.00,309.62,283.61,296.22,334.88,319.58,265.43,225.86,219.58,178.53,130.57,89.06,46.95,12.38,1.39
Canada,2020,972.21,966.02,968.77,971.04,1155.24,1343.61,1310.41,1330.40,1239.08,1193.69,1207.50,1378.18,1287.33,1102.78,925.43,657.54,458.65,313.37,169.08,52.59,7.07
United States of America,2020,9621.27,9798.76,10311.97,10408.59,10936.01,11690.88,11349.97,10756.92,10176.02,10084.70,10258.27,10840.21,10619.26,9353.75,7709.34,5400.75,3655.58,2372.45,1348.01,447.63,76.31
